,Player,Team,Annual Salary
177,"Jonathon Simmons, G",Detroit Pistons,"$6,000,000"
178,"Ish Smith, PG",Phoenix Suns,"$6,000,000"
179,"Alan Williams, C",LA Clippers,"$6,000,000"
180,"Milos Teodosic, G",LA Clippers,"$6,000,000"
181,"Wesley Johnson, F",Oklahoma City Thunder,"$5,882,260"
182,"Alex Abrines, G",New York Knicks,"$5,725,000"
183,"Kristaps Porzingis, C",Boston Celtics,"$5,697,054"
184,"Jayson Tatum, SF",Phoenix Suns,"$5,645,400"
185,"Jared Sullinger, C",Los Angeles Lakers,"$5,628,000"
186,"Brandon Ingram, SF",LA Clippers,"$5,519,400"
187,"Patrick Beverley, PG",Utah Jazz,"$5,513,514"
188,"Luis Scola, F",Washington Wizards,"$5,500,000"
189,"Thabo Sefolosha, F",Memphis Grizzlies,"$5,500,000"
190,"Jason Smith, F",Oklahoma City Thunder,"$5,450,000"
191,"Ben McLemore, SG",Golden State Warriors,"$5,200,000"
192,"Patrick Patterson, PF",Phoenix Suns,"$5,192,000"
193,"Nick Young, G",Atlanta Hawks,"$5,192,000"
194,"Josh Jackson, SG",Orlando Magic,"$5,090,040"
195,"Mike Muscala, C",Boston Celtics,"$5,000,000"
196,"C.J. Watson, PG",Dallas Mavericks,"$5,000,000"
197,"Marcus Morris Sr., SF",Utah Jazz,"$5,000,000"
198,"Dirk Nowitzki, F",Orlando Magic,"$5,000,000"
199,"Dante Exum, PG",LA Clippers,"$4,992,385"
200,"Jonathan Isaac, PF",Boston Celtics,"$4,969,080"
201,"Alexis Ajinca, C",Atlanta Hawks,"$4,961,798"
202,"Jaylen Brown, SG",Oklahoma City Thunder,"$4,956,480"
203,"Mike Dunleavy, SG",Sacramento Kings,"$4,837,500"
204,"Kyle Singler, F",New York Knicks,"$4,666,500"
205,"De'Aaron Fox, PG",Chicago Bulls,"$4,609,200"
206,"Ron Baker, G",Phoenix Suns,"$4,544,000"
207,"Lauri Markkanen, PF",Denver Nuggets,"$4,536,120"
208,"Dragan Bender, F",Chicago Bulls,"$4,468,800"
209,"Devin Harris, G",Brooklyn Nets,"$4,402,546"
210,"Justin Holiday, SF",Minnesota Timberwolves,"$4,384,616"
211,"Greivis Vasquez, PG",New York Knicks,"$4,347,826"
212,"Jamal Crawford, G",Chicago Bulls,"$4,328,000"
213,"Emmanuel Mudiay, G",Phoenix Suns,"$4,294,480"
214,"Kris Dunn, PG",Dallas Mavericks,"$4,221,000"
215,"Alex Len, C",New York Knicks,"$4,187,599"
216,"Nerlens Noel, C",Los Angeles Lakers,"$4,187,599"
217,"Frank Ntilikina, PG",Minnesota Timberwolves,"$4,155,720"
218,"Julius Randle, PF",Utah Jazz,"$4,149,242"
219,"Leandro Barbosa, G",Minnesota Timberwolves,"$4,000,000"
220,"Jordan Hill, C",Detroit Pistons,"$4,000,000"
221,"Jonas Jerebko, F",Dallas Mavericks,"$4,000,000"
222,"Nemanja Bjelica, PF",Chicago Bulls,"$3,949,999"
223,"Stanley Johnson, PF",Sacramento Kings,"$3,940,402"
224,"J.J. Barea, G",Sacramento Kings,"$3,903,900"
225,"Quincy Pondexter, F",Charlotte Hornets,"$3,853,931"
226,"Willie Cauley-Stein, C",Washington Wizards,"$3,704,160"
227,"Buddy Hield, SG",Denver Nuggets,"$3,675,480"
228,"Frank Kaminsky, PF",LA Clippers,"$3,627,842"
229,"Drew Gooden, PF",Denver Nuggets,"$3,547,000"
230,"Will Barton, SF",Golden State Warriors,"$3,533,333"
231,"Paul Pierce, SF",Houston Rockets,"$3,527,920"
232,"Mike Miller, SG",Washington Wizards,"$3,500,000"
233,"Zaza Pachulia, C",Miami Heat,"$3,477,600"
234,"Nene Hilario, C",Charlotte Hornets,"$3,477,600"
235,"Jodie Meeks, G",Indiana Pacers,"$3,454,500"
236,"Justise Winslow, PF",Phoenix Suns,"$3,448,926"
237,"Malik Monk, SG",Denver Nuggets,"$3,447,480"
238,"Myles Turner, C",Phoenix Suns,"$3,410,284"
239,"Troy Daniels, G",New Orleans Pelicans,"$3,408,520"
240,"Jamal Murray, PG",Dallas Mavericks,"$3,355,320"
241,"Elfrid Payton, PG",Memphis Grizzlies,"$3,332,340"
242,"Rajon Rondo, PG",Houston Rockets,"$3,300,000"
243,"Doug McDermott, SF",Detroit Pistons,"$3,294,994"
244,"Tyreke Evans, G",Detroit Pistons,"$3,290,000"
245,"Tarik Black, F",Chicago Bulls,"$3,290,000"
246,"Anthony Tolliver, PF",Dallas Mavericks,"$3,290,000"
247,"Luke Kennard, SG",Washington Wizards,"$3,275,280"
248,"Cameron Payne, PG",Utah Jazz,"$3,263,294"
249,"Dennis Smith Jr., PG",Phoenix Suns,"$3,218,280"
250,"Kelly Oubre Jr., SG",Phoenix Suns,"$3,208,630"
251,"Ekpe Udoh, F",Portland Trail Blazers,"$3,200,000"
252,"T.J. Warren, SF",Brooklyn Nets,"$3,152,931"
253,"Marquese Chriss, SF",New York Knicks,"$3,073,800"
254,"Zach Collins, PF",Washington Wizards,"$3,057,240"
255,"Seth Curry, SG",Philadelphia 76ers,"$3,028,410"
256,"Mindaugas Kuzminskas, F",Miami Heat,"$3,025,035"
257,"Justin Hamilton, C",Toronto Raptors,"$3,000,000"
258,"Tomas Satoransky, SG",Portland Trail Blazers,"$3,000,000"
259,"Tibor Pleiss, C",Milwaukee Bucks,"$3,000,000"
260,"Bam Adebayo, C",Cleveland Cavaliers,"$2,955,840"
261,"Jakob Poeltl, C",Indiana Pacers,"$2,947,320"
262,"Jusuf Nurkic, C",Chicago Bulls,"$2,947,305"
263,"Thon Maker, F",Utah Jazz,"$2,799,720"
264,"Cedi Osman, SF",Denver Nuggets,"$2,775,000"
265,"Domantas Sabonis, PF",Toronto Raptors,"$2,659,800"
266,"Jerian Grant, G",Milwaukee Bucks,"$2,639,314"
267,"Donovan Mitchell, SG",Philadelphia 76ers,"$2,621,280"
268,"Gary Harris, SG",Atlanta Hawks,"$2,550,055"
269,"Delon Wright, SG",Philadelphia 76ers,"$2,536,898"
270,"D.J. Wilson, F",San Antonio Spurs,"$2,534,280"
271,"Dario Saric, PF",Detroit Pistons,"$2,526,840"
272,"Taurean Prince, PF",Chicago Bulls,"$2,526,840"
273,"Justin Anderson, F",Brooklyn Nets,"$2,516,048"
274,"Manu Ginobili, G",Sacramento Kings,"$2,500,000"
275,"Reggie Bullock, SF",Cleveland Cavaliers,"$2,500,000"
276,"Bobby Portis, C",Denver Nuggets,"$2,494,346"
277,"Rondae Hollis-Jefferson, SF",Indiana Pacers,"$2,470,357"
278,"Bruno Caboclo, F",Sacramento Kings,"$2,451,225"
279,"Kendrick Perkins, C",Portland Trail Blazers,"$2,445,085"
280,"Trey Lyles, PF",Houston Rockets,"$2,441,400"
281,"T.J. Leaf, PF",Phoenix Suns,"$2,407,560"
282,"Justin Jackson, F",Atlanta Hawks,"$2,365,560"
283,"Shabazz Napier, G",Chicago Bulls,"$2,361,360"
284,"Clint Capela, C",Cleveland Cavaliers,"$2,334,528"
285,"Devin Booker, SG",Minnesota Timberwolves,"$2,319,360"
286,"John Collins, PF",Boston Celtics,"$2,299,080"
287,"Denzel Valentine, SG",Milwaukee Bucks,"$2,280,600"
288,"Larry Nance Jr., PF",Denver Nuggets,"$2,272,391"
289,"Justin Patton, C",San Antonio Spurs,"$2,247,480"
290,"Guerschon Yabusele, F",New Orleans Pelicans,"$2,247,480"
291,"Brandon Jennings, G",Denver Nuggets,"$2,222,803"
292,"Mo Williams, PG",Chicago Bulls,"$2,194,500"
293,"Kyle Anderson, SF",Milwaukee Bucks,"$2,151,704"
294,"Darius Miller, SF",Toronto Raptors,"$2,100,000"
295,"Juancho Hernangomez, F",Brooklyn Nets,"$2,076,840"
296,"Sean Kilpatrick, G",Boston Celtics,"$2,054,856"
297,"Kendall Marshall, PG",Indiana Pacers,"$2,048,257"
298,"OG Anunoby, SF",Cleveland Cavaliers,"$2,034,120"
299,"Jarrett Allen, C",Milwaukee Bucks,"$2,034,120"
300,"Terry Rozier, SG",Orlando Magic,"$1,988,520"
301,"Kevin Seraphin, C",LA Clippers,"$1,974,159"
302,"Ante Zizic, C",Detroit Pistons,"$1,952,760"
303,"Tyler Zeller, C",Detroit Pistons,"$1,933,941"
304,"Rashad Vaughn, G",LA Clippers,"$1,889,040"
305,"Harry Giles III, PF",Oklahoma City Thunder,"$1,859,400"
306,"Henry Ellenson, PF",Philadelphia 76ers,"$1,857,480"
307,"Eric Moreland, C",Brooklyn Nets,"$1,826,300"
308,"Sam Dekker, F",Denver Nuggets,"$1,794,600"
309,"Terrance Ferguson, SF",Brooklyn Nets,"$1,785,000"
310,"Furkan Korkmaz, SG",Charlotte Hornets,"$1,740,000"
311,"Caris LeVert, SG",Atlanta Hawks,"$1,702,800"
312,"Malik Beasley, SG",Philadelphia 76ers,"$1,700,640"
313,"Spencer Dinwiddie, PG",Philadelphia 76ers,"$1,656,092"
314,"Julyan Stone, G",Detroit Pistons,"$1,656,092"
315,"DeAndre' Bembry, SG",Denver Nuggets,"$1,634,640"
316,"Richaun Holmes, C",Portland Trail Blazers,"$1,600,520"
317,"T.J. McConnell, PG",Atlanta Hawks,"$1,600,520"
318,"Dwight Buycks, G",Dallas Mavericks,"$1,600,520"
319,"Tyler Lydon, F",Toronto Raptors,"$1,579,440"
320,"Archie Goodwin, SG",Sacramento Kings,"$1,577,230"
321,"Ryan Kelly, PF",Toronto Raptors,"$1,577,230"
322,"Jeff Withey, C",Atlanta Hawks,"$1,577,230"
323,"Malachi Richardson, G",Miami Heat,"$1,569,360"
324,"Caron Butler, SF",New York Knicks,"$1,551,659"
325,"Pascal Siakam, PF",Golden State Warriors,"$1,544,951"
326,"Isaiah Taylor, G",Milwaukee Bucks,"$1,544,951"
327,"Okaro White, F",Miami Heat,"$1,544,951"
328,"Troy Williams, F",New York Knicks,"$1,544,951"
329,"Quinn Cook, PG",Charlotte Hornets,"$1,544,951"
330,"Malcolm Brogdon, PG",Oklahoma City Thunder,"$1,544,951"
331,"Rodney McGruder, G",San Antonio Spurs,"$1,544,951"
332,"Trey Burke, PG",Charlotte Hornets,"$1,544,951"
333,"Willy Hernangomez, C",Los Angeles Lakers,"$1,544,951"
334,"Mitch McGary, PF",Oklahoma City Thunder,"$1,526,040"
335,"Joffrey Lauvergne, F",Denver Nuggets,"$1,524,305"
336,"Johnny O'Bryant III, F",Houston Rockets,"$1,524,305"
337,"Tyler Ennis, G",LA Clippers,"$1,524,305"
338,"Jerami Grant, SF",Minnesota Timberwolves,"$1,524,305"
339,"Elijah Millsap, F",Golden State Warriors,"$1,524,305"
340,"Marcelinho Huertas, PG",Utah Jazz,"$1,500,000"
341,"Montrezl Harrell, C",Oklahoma City Thunder,"$1,471,382"
342,"Tyus Jones, PG",Oklahoma City Thunder,"$1,471,382"
343,"Omri Casspi, F",Oklahoma City Thunder,"$1,471,382"
344,"Raul Neto, PG",Oklahoma City Thunder,"$1,471,382"
345,"KJ McDaniels, F",Portland Trail Blazers,"$1,471,382"
346,"Raymond Felton, G",Golden State Warriors,"$1,471,382"
347,"Nick Collison, F",Philadelphia 76ers,"$1,471,382"
348,"Josh Huestis, F",Orlando Magic,"$1,471,382"
349,"Anthony Morrow, SG",Minnesota Timberwolves,"$1,471,382"
350,"JaVale McGee, C",Milwaukee Bucks,"$1,471,382"
351,"Kris Humphries, PF",Portland Trail Blazers,"$1,471,382"
352,"Damjan Rudez, SF",Memphis Grizzlies,"$1,471,382"
353,"Aaron Brooks, G",Indiana Pacers,"$1,471,382"
354,"Axel Toupane, SG",Indiana Pacers,"$1,471,382"
355,"Pat Connaughton, SG",Houston Rockets,"$1,471,382"
356,"Joel Anthony, C",Golden State Warriors,"$1,471,382"
357,"Mario Chalmers, G",Los Angeles Lakers,"$1,471,382"
358,"Rakeem Christmas, PF",Golden State Warriors,"$1,471,382"
359,"Damien Wilkins, SG",Washington Wizards,"$1,471,382"
360,"Luc Mbah a Moute, F",Detroit Pistons,"$1,471,382"
361,"Kevon Looney, C",Denver Nuggets,"$1,471,382"
362,"Andrew Bogut, C",Denver Nuggets,"$1,471,382"
363,"David West, F",Dallas Mavericks,"$1,471,382"
364,"Chris McCullough, F",Dallas Mavericks,"$1,471,382"
